Date,Price,Day,30D
2026-07-07,76.92,▼-0.25(-0.32%),▲+12.55(+19.50%)
2026-07-08,76.92,▼-0.25(-0.32%),▲+12.55(+19.50%)
2026-07-09,77.12,▲+0.20(+0.26%),▲+12.25(+18.88%)
2026-07-10,77.62,▲+0.50(+0.65%),▲+12.08(+18.42%)
2026-07-11,77.62,▲+0.50(+0.65%),▲+12.08(+18.42%)
2026-07-12,77.62,▲+0.50(+0.65%),▲+12.08(+18.42%)
2026-07-13,78.12,▲+0.50(+0.64%),▲+11.12(+16.60%)
2026-07-14,78.38,▲+0.25(+0.32%),▲+11.38(+16.98%)
2026-07-15,78.62,▲+0.25(+0.32%),▲+11.12(+16.48%)
2026-07-16,80.12,▲+1.50(+0.95%),▲+12.00(+17.61%)
2026-07-17,80.2,▲+0.08(+0.09%),▲+11.70(+17.08%)
2026-07-18,80.2,▲+0.08(+0.09%),▲+11.70(+17.08%)
2026-07-19,80.2,▲+0.08(+0.09%),▲+11.70(+17.08%)
2026-07-20,80.45,▲+0.25(+0.31%),▲+11.32(+16.38%)
2026-07-21,81.2,▲+0.75(+0.93%),▲+12.08(+17.47%)
2026-07-22,81.25,▲+0.05(+0.06%),▲+11.50(+16.49%)
2026-07-23,82.12,▲+0.88(+1.08%),▲+11.49(+16.27%)
2026-07-24,83.25,▲+1.12(+1.37%),▲+11.94(+16.75%)
2026-07-25,83.25,▲+1.12(+1.37%),▲+11.94(+16.75%)
2026-07-26,83.25,▲+1.12(+1.37%),▲+11.94(+16.75%)
2026-07-28,85.0,▲+0.49(+0.58%),▲+12.68(+17.54%)
2026-07-29,84.98,▼-0.02(-0.03%),▲+11.99(+16.42%)
2026-07-30,84.98,·0.00(0.00%),▲+11.23(+15.23%)
2026-07-31,85.22,▲+0.24(+0.29%),▲+10.60(+14.20%)
2026-08-01,85.22,▲+0.24(+0.29%),▲+10.60(+14.20%)
2026-08-02,85.22,▲+0.24(+0.29%),▲+10.60(+14.20%)
2026-08-03,85.71,▲+0.49(+0.57%),▲+9.33(+12.22%)
2026-08-04,85.95,▲+0.24(+0.29%),▲+9.58(+12.54%)
2026-08-05,86.68,▲+0.73(+0.85%),▲+10.06(+13.13%)
2026-08-06,86.68,·0.00(0.00%),▲+9.51(+12.32%)
2026-08-07,86.27,▼-0.42(-0.48%),▲+9.34(+12.15%)
2026-08-08,86.27,▼-0.42(-0.48%),▲+9.34(+12.15%)
2026-08-09,86.27,▼-0.42(-0.48%),▲+9.34(+12.15%)
2026-08-10,86.74,▲+0.48(+0.55%),▲+9.12(+11.75%)
2026-08-11,86.87,▲+0.12(+0.14%),▲+9.24(+11.90%)
2026-08-12,87.35,▲+0.49(+0.56%),▲+9.23(+11.81%)
2026-08-13,87.72,▲+0.37(+0.42%),▲+9.34(+11.92%)
2026-08-14,88.21,▲+0.49(+0.56%),▲+9.58(+12.19%)
2026-08-15,88.21,▲+0.49(+0.56%),▲+9.58(+12.19%)
2026-08-16,88.21,▲+0.49(+0.56%),▲+9.58(+12.19%)
2026-08-17,88.94,▲+0.73(+0.83%),▲+8.74(+10.90%)
2026-08-18,89.43,▲+0.49(+0.55%),▲+9.23(+11.50%)
2026-08-19,90.1,▲+0.67(+0.75%),▲+9.65(+11.99%)
2026-08-20,90.58,▲+0.49(+0.54%),▲+9.38(+11.56%)
2026-08-21,91.07,▲+0.49(+0.54%),▲+9.82(+12.09%)
2026-08-22,91.07,▲+0.49(+0.54%),▲+9.82(+12.09%)
2026-08-23,91.07,▲+0.49(+0.54%),▲+9.82(+12.09%)
2026-08-24,91.32,▲+0.24(+0.27%),▲+8.07(+9.69%)
2026-08-25,90.56,▼-0.76(-0.83%),▲+7.31(+8.78%)
2026-08-26,91.05,▲+0.49(+0.54%),▲+6.54(+7.73%)
2026-08-27,91.05,·0.00(0.00%),▲+6.05(+7.12%)
2026-08-28,91.29,▲+0.24(+0.27%),▲+6.32(+7.43%)
2026-08-29,91.29,▲+0.24(+0.27%),▲+6.32(+7.43%)
2026-08-30,91.29,▲+0.24(+0.27%),▲+6.32(+7.43%)
2026-08-31,91.78,▲+0.49(+0.53%),▲+6.56(+7.70%)
2026-09-01,92.02,▲+0.24(+0.27%),▲+6.80(+7.98%)
2026-09-02,92.65,▲+0.62(+0.68%),▲+6.94(+8.10%)
2026-09-03,92.91,▲+0.26(+0.28%),▲+6.96(+8.10%)
2026-09-04,93.5,▲+0.59(+0.63%),▲+6.82(+7.86%)
