Date,Price,Day,30D
2026-07-07,22.5,·0.00(0.00%),▲+1.86(+9.02%)
2026-07-08,22.5,·0.00(0.00%),▲+1.86(+9.02%)
2026-07-09,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-10,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-11,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-12,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-13,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-14,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-15,22.5,·0.00(0.00%),▲+2.07(+10.13%)
2026-07-16,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-17,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-18,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-19,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-20,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-21,22.5,·0.00(0.00%),▼-0.50(-2.17%)
2026-07-22,22.5,·0.00(0.00%),▲+2.43(+12.11%)
2026-07-23,22.5,·0.00(0.00%),·0.00(0.00%)
2026-07-24,22.5,·0.00(0.00%),·0.00(0.00%)
2026-07-25,22.5,·0.00(0.00%),·0.00(0.00%)
2026-07-26,22.5,·0.00(0.00%),·0.00(0.00%)
2026-07-28,22.5,·0.00(0.00%),·0.00(0.00%)
2026-07-29,22.5,·0.00(0.00%),▲+2.64(+13.28%)
2026-07-30,22.5,·0.00(0.00%),·0.00(0.00%)
2026-07-31,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-01,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-02,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-03,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-04,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-05,22.5,·0.00(0.00%),▲+3.21(+16.62%)
2026-08-06,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-07,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-08,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-09,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-10,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-11,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-12,22.5,·0.00(0.00%),▲+3.32(+17.33%)
2026-08-13,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-14,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-15,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-16,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-17,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-18,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-19,22.5,·0.00(0.00%),▲+3.57(+18.85%)
2026-08-20,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-21,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-22,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-23,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-24,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-25,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-26,22.5,·0.00(0.00%),▲+3.25(+16.88%)
2026-08-27,22.5,·0.00(0.00%),·0.00(0.00%)
2026-08-28,22.5,·0.00(0.00%),·0.00(0.00%)
