Date,Price,Day,30D
2026-07-07,47.07,·0.00(0.00%),▲+3.50(+8.03%)
2026-07-08,47.07,·0.00(0.00%),▲+3.50(+8.03%)
2026-07-09,47.77,▲+0.70(+1.49%),▲+3.77(+8.56%)
2026-07-10,47.8,▲+0.03(+0.07%),▲+3.30(+7.42%)
2026-07-11,47.8,▲+0.03(+0.07%),▲+3.30(+7.42%)
2026-07-12,47.8,▲+0.03(+0.07%),▲+3.30(+7.42%)
2026-07-13,48.33,▲+0.53(+1.12%),▲+3.50(+7.81%)
2026-07-14,48.5,▲+0.17(+0.35%),▲+3.67(+8.18%)
2026-07-15,48.57,▲+0.07(+0.14%),▲+3.57(+7.93%)
2026-07-16,49.33,▲+0.77(+0.89%),▲+4.10(+9.06%)
2026-07-17,49.67,▲+0.33(+0.68%),▲+4.27(+9.40%)
2026-07-18,49.67,▲+0.33(+0.68%),▲+4.27(+9.40%)
2026-07-19,49.67,▲+0.33(+0.68%),▲+4.27(+9.40%)
2026-07-20,49.77,▲+0.10(+0.20%),▲+3.77(+8.19%)
2026-07-21,50.07,▲+0.30(+0.60%),▲+4.07(+8.84%)
2026-07-22,50.33,▲+0.27(+0.53%),▲+4.17(+9.02%)
2026-07-23,50.5,▲+0.17(+0.33%),▲+4.00(+8.60%)
2026-07-24,50.83,▲+0.33(+0.66%),▲+4.17(+8.93%)
2026-07-25,50.83,▲+0.33(+0.66%),▲+4.17(+8.93%)
2026-07-26,50.83,▲+0.33(+0.66%),▲+4.17(+8.93%)
2026-07-28,50.93,▲+0.10(+0.20%),▲+4.20(+8.99%)
2026-07-29,50.93,·0.00(0.00%),▲+4.20(+8.99%)
2026-07-30,50.97,▲+0.03(+0.07%),▲+4.13(+8.83%)
2026-07-31,50.97,·0.00(0.00%),▲+4.13(+8.83%)
2026-08-01,50.97,·0.00(0.00%),▲+4.13(+8.83%)
2026-08-02,50.97,·0.00(0.00%),▲+4.13(+8.83%)
2026-08-03,51.33,▲+0.37(+0.72%),▲+4.67(+10.00%)
2026-08-04,51.33,·0.00(0.00%),▲+4.67(+10.00%)
2026-08-05,51.33,·0.00(0.00%),▲+4.33(+9.22%)
2026-08-06,51.5,▲+0.17(+0.33%),▲+4.43(+9.42%)
2026-08-07,51.6,▲+0.10(+0.19%),▲+4.53(+9.63%)
2026-08-08,51.6,▲+0.10(+0.19%),▲+4.53(+9.63%)
2026-08-09,51.6,▲+0.10(+0.19%),▲+4.53(+9.63%)
2026-08-10,51.77,▲+0.17(+0.32%),▲+3.97(+8.30%)
2026-08-11,52.13,▲+0.37(+0.71%),▲+4.33(+9.06%)
2026-08-12,52.5,▲+0.37(+0.70%),▲+4.17(+8.62%)
2026-08-13,52.7,▲+0.20(+0.38%),▲+4.20(+8.66%)
2026-08-14,52.73,▲+0.03(+0.06%),▲+4.17(+8.58%)
2026-08-15,52.73,▲+0.03(+0.06%),▲+4.17(+8.58%)
2026-08-16,52.73,▲+0.03(+0.06%),▲+4.17(+8.58%)
2026-08-17,52.73,·0.00(0.00%),▲+3.07(+6.17%)
2026-08-18,52.73,·0.00(0.00%),▲+3.07(+6.17%)
2026-08-19,53.27,▲+0.53(+1.01%),▲+3.50(+7.03%)
2026-08-20,53.77,▲+0.50(+0.94%),▲+3.70(+7.39%)
